 num     #instances         #bytes  class name (module)
  88:          1393          40896  [Ljavax.management.ObjectName$Property; (java.management@17.0.13)
  89:          1239          39648  java.lang.invoke.LambdaForm$Name (java.base@17.0.13)
  90:           375          39360  [Z (java.base@17.0.13)
  91:          1647          38920  [Ljava.lang.reflect.Type; (java.base@17.0.13)
  92:          1196          38272  sun.security.util.DerValue (java.base@17.0.13)
  93:          1195          38240  java.lang.invoke.BoundMethodHandle$Species_L (java.base@17.0.13)
  94:           956          38240  java.math.BigInteger (java.base@17.0.13)
  95:          1584          38016  org.springframework.cloud.config.client.ConfigServicePropertySourceLocator$ConfigServiceOrigin
  96:          1562          37488  org.apache.kafka.common.metrics.stats.CumulativeSum
  97:           928          37120  java.lang.Package$VersionInfo (java.base@17.0.13)
  98:           511          36792  org.springframework.beans.factory.support.ConstructorResolver$ConstructorDependencyDescriptor
  99:          2230          35680  java.util.LinkedHashMap$LinkedValues (java.base@17.0.13)
 100:           739          35472  java.util.TreeMap (java.base@17.0.13)
 101:          1472          35328  org.apache.kafka.common.metrics.stats.Rate
 102:           848          33920  org.springframework.util.ConcurrentReferenceHashMap$Segment
 103:          2082          33856  [Lorg.apache.kafka.common.metrics.Sensor;
 104:          1056          33792  java.lang.Package (java.base@17.0.13)
 105:           848          33592  [Lorg.springframework.util.ConcurrentReferenceHashMap$Reference;
 106:          2094          33504  org.apache.kafka.common.metrics.Sensor$$Lambda$1848/0x0000000100aca608
 107:          2039          32624  java.lang.Integer (java.base@17.0.13)
 108:          1011          32352  sun.util.locale.BaseLocale (java.base@17.0.13)
 109:           992          31744  sun.util.locale.BaseLocale$Key (java.base@17.0.13)
 110:          1295          31080  org.apache.commons.logging.LogAdapter$Slf4jLocationAwareLog
 111:           640          30720  io.netty.util.internal.shaded.org.jctools.queues.unpadded.MpscUnpaddedArrayQueue
 112:          1278          30672  org.springframework.beans.factory.annotation.InjectionMetadata
 113:          1269          30456  java.util.LinkedList$Node (java.base@17.0.13)
 114:            19          29968  [Lorg.apache.kafka.common.utils.ImplicitLinkedHashCollection$Element;
 115:          1045          29592  [Lorg.apache.kafka.common.Node;
 116:           337          29168  [Ljava.util.WeakHashMap$Entry; (java.base@17.0.13)
 117:           904          28928  org.apache.kafka.common.metrics.stats.WindowedSum
 118:          1196          28704  [Lsun.security.x509.AVA; (java.base@17.0.13)
 119:          1196          28704  sun.security.x509.AVA (java.base@17.0.13)
 120:          1196          28704  sun.security.x509.RDN (java.base@17.0.13)
 121:           393          28296  com.dynatrace.agent.measures.jmx.MBeanAttributeSubscription
 122:            32          28288  [Lio.netty.buffer.PoolSubpage;
 123:           847          27832  [Lorg.apache.kafka.common.protocol.types.BoundField;
 124:          1143          27432  org.apache.kafka.common.TopicPartition
 125:           847          27104  org.apache.kafka.common.protocol.types.Schema
 126:           661          26440  org.springframework.core.type.classreading.SimpleMethodMetadata
 127:           792          25344  org.apache.kafka.common.metrics.stats.Avg
 128:          1045          25080  org.springframework.boot.origin.OriginTrackedValue
 129:          1029          24696  java.util.concurrent.ConcurrentLinkedDeque (java.base@17.0.13)
 130:          1016          24384  java.lang.Double (java.base@17.0.13)
 131:           380          24320  java.net.URL (java.base@17.0.13)
 132:           215          24080  org.springframework.beans.factory.annotation.AnnotatedGenericBeanDefinition
 133:           745          23840  org.springframework.core.SerializableTypeWrapper$MethodParameterTypeProvider
 134:            40          23360  io.netty.util.internal.shaded.org.jctools.queues.MpscChunkedArrayQueue
 135:          1436          22976  java.util.concurrent.locks.ReentrantLock (java.base@17.0.13)
 136:          1425          22800  java.util.concurrent.CopyOnWriteArraySet (java.base@17.0.13)
 137:           712          22784  org.apache.kafka.common.MetricNameTemplate
 138:           942          22608  org.springframework.core.convert.converter.GenericConverter$ConvertiblePair
 139:           939          22536  sun.reflect.generics.factory.CoreReflectionFactory (java.base@17.0.13)
 140:          1405          22480  org.springframework.beans.factory.support.MethodOverrides
 141:           697          22304  javax.management.ObjectName (java.management@17.0.13)
 142:           960          22272  [Lorg.springframework.core.ResolvableType;
 143:           688          22016  sun.reflect.generics.repository.ClassRepository (java.base@17.0.13)
 144:           208          21632  java.util.jar.JarFile$JarFileEntry (java.base@17.0.13)
 145:          1351          21616  java.lang.ref.ReferenceQueue$Lock (java.base@17.0.13)
 146:          1338          21408  java.util.HashSet (java.base@17.0.13)
 147:           535          21400  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@17.0.13)
 148:          1336          21376  org.apache.kafka.common.metrics.Sensor$$Lambda$1847/0x0000000100ac9fc8
 149:           444          21312  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@17.0.13)
 150:           661          21152  org.springframework.core.type.classreading.SimpleMethodMetadataReadingVisitor$Source
 151:           327          20928  org.apache.kafka.common.config.ConfigDef$ConfigKey
 152:           648          20736  org.apache.kafka.common.metrics.stats.Max
